number,artist,title,time,bpm,year,genre,genre_combined,decade,track,track_gen,url,lyrics
52,Prince,When Doves Cry,3M 48S,126.5,1984,Dance 1980s,Dance,1980s,POWERTRK_084-02,POWERTRK_084,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_084/POWERTRK_084-02.html,Dig if you will the picture Of you and I engaged in a kiss The sweat of your body covers me Can you my darling...can you picture this? Dream if you can A courtyard An ocean of violets in bloom Animals strike curious poses They feel the heat The heat between me and you How can you just leave me standing? Alone in a world that's so cold Maybe I'm just too demanding Maybe I'm just like my father too bold Maybe you're just like my mother She's never satisfied Why do we scream at each other This is what it sounds like when doves cry. Touch if you will my stomach Feel how it trembles inside You've got the butterflies all tied up Don't make me chase you Even doves have pride How can you just leave me standing? Alone in a world so cold (world so cold) Maybe I'm just too demanding Maybe I'm just like my father too bold Maybe you're just like my mother She's never satisfied Why do we scream at each other This is what it sounds like when doves cry.
53,Sex Pistols,Anarchy in the U.K.,3M 32S,134.3,1977,Rock 1970s,Rock,1970s,POWERTRK_070-13,POWERTRK_070,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_070/POWERTRK_070-13.html,Right! Now! I am an Antichrist I am an anarchist Don't know what I want but I know how to get it I wanna destroy the passer by 'Cause I I wanna be anarchy! No dog's body Anarchy for the U.K It's coming sometime and maybe I give a wrong time stop a traffic line Your future dream is a shopping scheme 'Cause I I wanna be anarchy! In the city How many ways to get what you want I use the best I use the rest I use the NME I use anarchy 'Cause I I wanna be anarchy! It's the only way to be Is this the MPLA Or is this the UDA Or is this the IRA I thought it was the UK or just Another country Another council tenancy I wanna be anarchy And I wanna be anarchy Oh what a name I wanna be an anarchist Get pissed! Destroy!
54,Percy Sledge,When a Man Loves a Woman,2M 52S,97.8,1966,Slow,Slow,NA,POWERTRK_033-01,POWERTRK_033,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_033/POWERTRK_033-01.html,"When a man loves a woman, Can't keep his mind on nothin' else, He'd change the world for the good thing he's found. If she is bad, he can't see it, She can do no wrong, Turn his back on his best friend if he put her down. When a man loves a woman, He'll spend his very last dime Tryin' to hold on to what he needs. He'd give up all his comforts And sleep out in the rain, If she said that's the way It ought to be. Well, this man loves you, woman. I gave you everything I have, Tryin' to hold on to your heartless love. Baby, please don't treat me bad. When a man loves a woman, Down deep in his soul, She can bring him such misery. If she is playin' him for a fool, He's the last one to know. Lovin' eyes can never see. When a man loves a woman he can do her no wrong, he can never want some other girl. Yes,When a man loves a woman I know exactly how he feels, 'Cause baby, baby, you're my world When a man loves a woman...."
55,The Kingsmen,Louie Louie,2M 42S,124,1963,Rock 1960s,Rock,1960s,POWERTRK_017-16,POWERTRK_017,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_017/POWERTRK_017-16.html,"Louie, Louie, oh no, I said we gotta go. yeah yeah yeah yeah yeah I said Louie, Louie, oh baby, I said we gotta go. A fine little girl, she waits for me. Me catch a ship across the sea. Me sail that ship all alone. Me never think how I'll make it home. Louie, Louie, no, no, no, no, no, I said we gotta go. oh no, I said Louie, Louie, oh baby, I said we gotta go. Three nights and days I sail the sea. I think of girl constantly. On that ship, I dream she there. I smell the rose in her hair. Louie, Louie, oh no, I said we gotta go. Yeah, yeah, yeah, yeah I said Louie, Louie, oh baby, I said we gotta go. ok, let's give it to 'em, right now! Me see Jamaican moon above. It won't be long me see me love. Me take her in my arms and then I tell her I'll never leave again. Louie, Louie, oh no, I said we gotta go. Yeah, yeah, yeah, yeah I said Louie, Louie, oh baby, I said we gotta go I said we gotta go now Let's get on outta here LET'S GO!"
56,Little Richard,Long Tall Sally,2M 6S,189.8,1956,Rock 1950s,Rock,1950s,POWERTRK_118-08,POWERTRK_118,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_118/POWERTRK_118-08.html,"Gonna tell Aunt Mary 'bout Uncle John, He claims he has the misery but he has a lot of fun Oh baby, Yes baby, Wooh baby, Havin' me some fun tonight Yeah Well, long tall Sally, she's Built for speed, she got Everything that Uncle John need Oh baby, Yes baby, Wooh baby, Havin' me some fun tonight Yeah Well, I saw Uncle John with bald headed Sally He saw Aunt Mary comin' and he ducked back in the alley Oh baby, Yes baby, Wooh baby, Havin' me some fun tonight Yeah We gonna have some fun tonight We gonna have some fun tonight Wooh Have some fun tonight Everything's alright Have some fun, Have me some fun tonight"
57,Procol Harum,A Whiter Shade of Pale,4M 4S,148.6,1967,Slow,Slow,NA,POWERTRK_027-08,POWERTRK_027,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_027/POWERTRK_027-08.html,"We skipped the light fandango Turned cartwheels 'cross the floor I was feeling kind of seasick The crowd called out for more The room was humming harder As the ceiling flew away When we called out for another drink The waiter brought a tray And so it was that later As the miller told his tale That her face, at first just ghostly Turned a whiter shade of pale She said there is no reason And the truth is plain to see But I wandered through my playing cards Would not let her be One of sixteen vestal virgins Who were leaving for the coast And although my eyes were open They might just as well've been closed And so it was that later As the miller told his tale That her face, at first just ghostly Turned a whiter shade of pale And so it was that later As the miller told his tale"
58,Michael Jackson,Billie Jean,4M 54S,117,1983,Dance 1980s,Dance,1980s,POWERTRK_008-08,POWERTRK_008,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_008/POWERTRK_008-08.html,"She was more like a beauty queen from a movie scene I said, ""Don't mind, but what do you mean I am the one Who will dance on the floor in the round?"" She said I am the one who will dance on the floor in the round She told me her name was Billie Jean as she caused a scene Then every head turned with eyes that dreamed of being the one Who will dance on the floor in the round People always told me be careful what you do Don't go around breaking young girls' hearts (hee-e!) And mother always told me be careful who you love And be careful what you do 'cause the lie becomes the truth (hey-hey!) Billie Jean's not my lover She's just a girl who claims that I am the one But the kid is not my son (hoo!) She says I am the one but the kid is not my son (hee-hee-hee) (hee-hee-hee) (whoo) For forty days and forty nights, the law was on her side But who can stand when she's in demand, her schemes and plans 'Cause we danced on the floor in the round So take my strong advice Just remember to always think twice (Don't think twice, do think twice [Ah-hoo!]) She told my baby we'd danced 'till three then she looked at me Then showed a photo, my baby cried, his eyes looked like mine (oh-no!) Go on dance on the floor in the round, baby (hee-hee-hee) People always told me be careful what you do Don't go around breaking young girls' hearts (hee-e!)(don't break no hearts!) She came and stood right by me, then the smell of sweet perfume This happened much too soon, she called me to her room (hey-hey!) Billie Jean's not my lover (hoo!) She's just a girl who claims that I am the one But the kid is not my son (dun-dun-dun-dun-dun-dun-dun-dun-hoo!) Billie Jean's not my lover She's just a girl who claims that I am the one But the kid is not my son (no-no) She says I am the one but the kid is not my son (hey!) (hoo!) (chicka, chicka, chicka) She says I am the one but the kid is not my son (hoo!) Billie Jean's not my lover She's just a girl who claims that I am the one But the kid is not my son (no-no-no) (no-no-no) (no-no!) She says I am the one, but the kid is not my son She says I am the one, (you know what you did!) she says he is my son (breaking my heart, baby!) She says I am the one, Billie Jean's not my lover Billie Jean's not my lover Billie Jean's not my lover Billie Jean's not my lover Billie Jean's not my lover Billie Jean's not my lover"
59,Bob Dylan,The Times They Are A-Changin',3M 11S,86.1,1967,Rock 1960s,Rock,1960s,POWERTRK_154-11,POWERTRK_154,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_154/POWERTRK_154-11.html,"Come gather around people, wherever you roam And admit that the waters around you have grown And accept it that soon you'll be drenched to the bone If your time to you is worth savin' Then you better start swimmin' or you'll sink like a stone For the times they are a-changin' Come writers and critics who prophesize with your pen And keep your eyes wide, the chance won't come again And don't speak too soon, for the wheel's still in spin And there's no tellin' who that it's namin' For the loser now will be later to win For the times they are a-changin' Come senators, congressmen, please heed the call Don't stand in the doorway, don't block up the hall For he that gets hurt will be he who has stalled The battle outside ragin' Will soon shake your windows and rattle your walls For the times they are a-changin' Come mothers and fathers throughout the land And don't criticize what you can't understand Your sons and your daughters are beyond your command Your old road is rapidly aging Please get out of the new one if you can't lend your hand For the times they are a-changin' The line it is drawn, the curse it is cast The slow one now will later be fast As the present now will later be past The order is rapidly fadin' And the first one now will later be last For the times they are a-changin'"
60,Al Green,Let's Stay Together,3M 17S,102.2,1971,Slow,Slow,NA,POWERTRK_045-07,POWERTRK_045,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_045/POWERTRK_045-07.html,"Let's stay together to get it on I, I'm so in love with you Whatever you want to do Is all right with me 'Cause you make me feel so brand-new I want to spend my life with you They say it seems, baby Since we've been together Loving you forever Is what I need Let me be the one you come runnin' to I'll never be untrue Ooo baby Let's, let's stay together Loving you whether, whether Times are good or bad Happy or sad Whether times are good or bad Happy or sad Why, somebody? Why do people who break up Oh, turn around and make up? I just can't see You'd never do that to me (Would you baby)? Being around you Is all I see Here's what I want us to do Let's... we oughta stay together Loving you whether, whether Times are good or bad Happy or sad (Come on) Let's, let's stay together Loving you whether, whether Times are good or bad Happy or sad If you never need me you can set me free woman Let's, let's stay together Loving you whether, whether Times are good or bad Happy or sad If you stay with me you can set me free woman Let's, let's stay together Loving you whether, whether Times are good or bad Happy or sad"
61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,2M 51S,121,1957,Rock 1950s,Rock,1950s,POWERTRK_017-12,POWERTRK_017,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_017/POWERTRK_017-12.html,"Come along my baby, whole lotta shakin' goin' on Yes, I said come along my baby, baby you can't go wrong We ain't fakin', while lotta shakin' goin' on Well, I said come along my baby, we got chicken in the barn Woo-huh, come along my baby, really got the bull by the horn We ain't fakin', whole lotta shakin' goin' on Well, I said shake, baby, shake I said shake, baby, shake I said shake it, baby, shake it And then shake, baby, shake Come on over, whole lotta shakin' goin' on Oh, let's go! Alright Well, I said come along my baby, we got chicken in the barn Whose barn? What barn? My barn Come along my baby, really got the bull by the horn We ain't fakin', whole lotta shakin' goin' on Easy now Shake it Ah, shake it, baby Yeah You can shake it one time for me Ye-ah-ha-ah, I said come on over, baby Whole lotta shakin' goin' on Now, let's get down real low one time now Shake, baby, shake All you gotta do, honey, is kinda stand in one spot Wiggle around just a little bit, that's when you got it, yeah Come on baby, whole lotta shakin' goin' on Now let's go one time Shake it baby, shake, shake it baby, shake Woo, shake baby, come on babe, shake it, baby, shake Come on over, whole lotta shakin' goin' on"
62,Bo Diddley,Bo Diddley,2M 20S,106,1957,TBD,TBD,NA,HOTSTUFF_029-12,HOTSTUFF_029,https://cs.uwaterloo.ca/~dtompkin/music/track/HOTSTUFF_029/HOTSTUFF_029-12.html,"Bo Diddley bought his baby a diamond ring If that diamond ring don't shine He gonna take it to a private eye If that private eye can't see He better not take the ring from me Bo Diddley bought a nanny goat To make his pretty baby a Sunday coat Bo Diddley bought a bear-a-cat To make his pretty baby a Sunday hat Mojo come to my house, a black cat bone And take my baby away from home Ugly ole Mojo where's he been Up to your house and gone again Bo Diddley, Bo Diddley have you heard? My pretty baby said she was a bird"
63,Buffalo Springfield,"For What It's Worth (Stop, Hey What's That Sound)",2M 38S,99.4,1967,Rock 1960s,Rock,1960s,POWERTRK_071-04,POWERTRK_071,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_071/POWERTRK_071-04.html,"There's something happening here But what it is ain't exactly clear There's a man with a gun over there Telling me I got to beware I think it's time we stop Children, what's that sound? Everybody look - what's going down? There's battle lines being drawn Nobody's right if everybody's wrong Young people speaking' their minds Getting so much resistance from behind It's time we stop Hey, what's that sound? Everybody look - what's going down? What a field day for the heat A thousand people in the street Singing songs and carrying signs Mostly saying, ""hooray for our side"" It's time we stop Hey, what's that sound? Everybody look - what's going down? Paranoia strikes deep Into your life it will creep It starts when you're always afraid Step out of line, the men come and take you away We better stop Hey, what's that sound? Everybody look - what's going down? We better stop Hey, what's that sound? Everybody look - what's going down? We better stop Now, what's that sound? Everybody look - what's going down? We better stop Children, what's that sound? Everybody look - what's going down?"
64,The Beatles,She Loves You,2M 22S,149.8,1966,Rock 1960s,Rock,1960s,BEATLES__RDA-04,BEATLES__RDA,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__RDA/BEATLES__RDA-04.html,"She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah, yeah You think you've lost your love Well, I saw her yesterday It's you she's thinking of And she told me what to say She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad She said you hurt her so She almost lost her mind But now she says she knows You're not the hurting kind She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad Ooh! She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah And with a love like that You know you should be glad You know it's up to you I think it's only fair Pride can hurt you too Apologize to her Because she loves you And you know that can't be bad She loves you And you know you should be glad Ooh! She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah With a love like that You know you should be glad With a love like that You know you should be glad With a love like that You know you should be glad Yeah, yeah, yeah Yeah, yeah, yeah, yeah"
65,Cream,Sunshine of Your Love,4M 11S,115,1968,Rock 1960s,Rock,1960s,POWERTRK_063-04,POWERTRK_063,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_063/POWERTRK_063-04.html,"It's getting near dawn When lights close their tired eyes I'll soon be with you, my love Give you my dawn surprise I'll be with you, darling, soon I'll be with you when the stars start falling I've been waiting so long To be where I'm going In the sunshine of your love I'm with you, my love The light's shinin' through on you Yes, I'm with you, my love It's the morning and just we two I'll stay with you, darling, now I'll stay with you 'til my seas are all dried up I've been waiting so long To be where I'm going In the sunshine of your love I'm with you, my love The light's shinin' through on you Yes, I'm with you, my love It's the morning and just we two I'll stay with you, darling, now I'll stay with you 'til my seas are all dried up I've been waiting so long I've been waiting so long I've been waiting so long To be where I'm going In the sunshine of your love"
66,Bob Marley & The Wailers,Redemption Song,3M 48S,116,1980,Reggae,Reggae,NA,BOBMARLY_G1A-12,BOBMARLY_G1A,https://cs.uwaterloo.ca/~dtompkin/music/track/BOBMARLY_G1A/BOBMARLY_G1A-12.html,"Old pirates, yes, they rob I; Sold I to the merchant ships, Minutes after they took I From the bottomless pit. But my hand was made strong By the hand of the almighty. We forward in this generation Triumphantly. Won't you help to sing these songs of freedom 'cause all I ever have: Redemption songs Redemption songs Emancipate yourselves from mental slavery; None but ourselves can free our minds. Have no fear for atomic energy, 'cause none of them can stop the time How long shall they kill our prophets, While we stand aside and look Oh! Some say it's just a part of it: We've got to fulfil the book. Won't you help to sing these songs of freedom 'cause all I ever have: Redemption songs Redemption songs Redemption songs (Guitar break) Emancipate yourselves from mental slavery; None but ourselves can free our mind. Wo! Have no fear for atomic energy, 'Cause none of them-a can-a stop-a-the time How long shall they kill our prophets, While we stand aside and look? Yes, some say it's just a part of it: We've got to fulfil the book. Won't you help to sing These songs of freedom? - 'cause all I ever had: Redemption songs - All I ever had: Redemption songs: These songs of freedom, Songs of freedom."
67,Elvis Presley,Jailhouse Rock,2M 27S,84.2,1957,Rock 1950s,Rock,1950s,POWERTRK_041-03,POWERTRK_041,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_041/POWERTRK_041-03.html,"The warden threw a party in the county jail The prison band was there and they began to wail The band was jumpin' and the joint began to swing You should've heard those knocked out jailbirds sing Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock Spider Murphy played the tenor saxophone Little Joe was blowing on the slide trombone The drummer boy from Illinois went crash, boom, bang The whole rhythm section was the Purple Gang Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock Number forty-seven said to number three ""You're the cutest jailbird I ever did see I sure would be delighted with your company Come on and do the jailhouse rock with me"" Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock Sad Sack was a sittin' on a block of stone Way over in the corner weepin' all alone The warden said, ""Hey, buddy, don't you be no square If you can't find a partner use a wooden chair"" Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock Shifty Henry said to Bugs, ""For heaven's sake No one's looking, now's our chance to make a break"" Bugsy turned to shifty and he said, ""Nix nix I wanna stick around a while and get my kicks"" Let's rock, everybody, let's rock Everybody in the whole cell block Was dancing to the jailhouse rock Dancing to the jailhouse rock Dancing to the jailhouse rock Dancing to the jailhouse rock Dancing to the jailhouse rock"
68,Bob Dylan,Tangled Up in Blue,5M 43S,99.2,1994,TBD,TBD,NA,DTRANDOM_008-04,DTRANDOM_008,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_008/DTRANDOM_008-04.html,"Early one morning, the sun was shining I was laying in bed Wondering if she'd changed it all If her hair was still red Her folks, they said our lives together Sure was gonna be rough They never did like mama's homemade dress Papa's bankbook wasn't big enough And I was standing on the side of the road Rain falling on my shoes Heading out for the east coast Lord knows I've paid some dues getting through Tangled up in blue She was married when we first met Soon to be divorced I helped her out of a jam, I guess But I used a little too much force We drove that car as far as we could Abandoned it out west Split up on a dark, sad night Both agreeing it was best She turned around to look at me As I was walking away I heard her say over my shoulder ""We'll meet again someday on the avenue"" Tangled up in blue I had a job in the great north woods Working as a cook for a spell But I never did like it all that much And one day the axe just fell So I drifted down to New Orleans Where I's lucky for to be employed Working for a while on a fishing boat Right outside of Delacroix But all the while I was alone The past was close behind I seen a lot of women But she never escaped my mind and I just grew Tangled up in blue She was working in a topless place And I stopped in for a beer I just kept looking at the sight of her face In the spotlight so clear And later on when the crowd thinned out I's just about to do the same She was standing there in back of my chair Said, ""Tell me, don't I know your name?"" I muttered something underneath my breath She studied the lines on my face I must admit I felt a little uneasy When she bent down to tie the laces of my shoe Tangled up in blue She lit a burner on the stove and offered me a pipe ""I thought you'd never say hello,"" she said ""You look like the silent type"" Then she opened up a book of poems And handed it to me Written by an Italian poet From the thirteenth century And every one of them words rang true And glowed like burning coal Pouring off of every page Like it was written in my soul from me to you Tangled up in blue I lived with them on Montague Street In a basement down the stairs There was music in the cafés at night And revolution in the air Then he started into dealing with slaves And something inside of him died She had to sell everything she owned And froze up inside And when finally the bottom fell out I became withdrawn The only thing I knew how to do Was to keep on keeping on like a bird that flew Tangled up in blue So now I'm going back again I got to get her somehow All the people we used to know They're an illusion to me now Some are mathematicians Some are carpenter's wives Don't know how it all got started I don't what they do with their lives But me, I'm still on the road Heading for another joint We always did feel the same We just saw it from a different point of view Tangled up in blue"
69,Roy Orbison,Crying,2M 47S,97.1,2006,TBD,TBD,NA,DTRANDOM_003-12,DTRANDOM_003,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_003/DTRANDOM_003-12.html,"I was all right for awhile I could smile for awhile But I saw you last night You held my hand so tight As you stopped to say, ""Hello"" Oh, you wished me well You, you couldn't tell That I'd been crying over you Crying over you When you said, ""So long"" Left me standing all alone Alone and crying, crying Crying, crying It's hard to understand But the touch of your hand Can start me crying I thought that I was over you But it's true, so true I love you even more Than I did before But, darling, what can I do? For you don't love me And I'll always be crying over you Crying over you Yes, now you're gone And from this moment on I'll be crying, crying Crying, crying Yeah, crying, crying Over you"
70,Dionne Warwick,Walk on By,2M 44S,99.3,1964,Slow,Slow,NA,POWERTRK_166-15,POWERTRK_166,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_166/POWERTRK_166-15.html,"(by Burt Bacharach & Hal David ) If you see me walking down the street, and I start to cry... Each time we meet, walk on by.. Walk on by Make believe that you don't see the tears, just let me grieve In private, cause each time I see you, I break down and cry... Walk on by (Don't... stop) Walk on by (Don't... stop) Walk on by... I just can't get over losing you, and so if I seem, broken and blue... Walk on by Walk on by... foolish pride That's all that I have left, so let me hide The tears and the sadness you gave me, when you said goodbye... Oh walk on by (Don't...stop) Oh walk on by (Don't...stop) Oh walk on by.... Oh walk on... Walk on by Walk on by, foolish pride That's all that I have left, so let me hide The tears and the sadness you gave me, when you said goodbye... Oh walk on by (Don't...stop) Oh walk on by (Don't...stop) Now you really gotta go, so walk on by (Don't don't ...stop) Baby, leave you'll never see the tears I cry (Don't don't ...stop) Now you really gotta go, so walk on by (Don't don't ...stop) Baby, leave you'll never see the tears I cry (Don't don't ...stop)(fade out)"
71,The Beach Boys,California Girls,2M 37S,115.9,1965,Rock 1960s,Rock,1960s,POWERTRK_078-06,POWERTRK_078,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_078/POWERTRK_078-06.html,"Well, East Coast girls are hip I really dig those styles they wear And the Southern girls, with the way they talk They knock me out when I'm down there The Midwest farmers' daughters really make you feel all right And the Northern girls, with the way they kiss They keep their boyfriends warm at night I wish they all could be California I wish they all could be California I wish they all could be California girls The West Coast has the sunshine And the girls all get so tanned I dig a French bikini on Hawaiian island dolls By a palm tree in the sand I been all around this great big world And I seen all kinds of girls Yeah, but I couldn't wait to get back in the States Back to the cutest girls in the world I wish they all could be California I wish they all could be California I wish they all could be California girls I wish they all could be California (Girls, girls, girls yeah I dig the) I wish they all could be California (Girls, girls, girls yeah I dig the) I wish they all could be California (Girls, girls, girls yeah I dig the) I wish they all could be California (Girls, girls, girls yeah I dig the) I wish they all could be California (Girls, girls, girls yeah I dig the) I wish they all could be California (Girls, girls, girls yeah I dig the) I wish they all could be California (Girls, girls, girls yeah I dig the)"
72,James Brown,Papa's Got a Brand New Bag Part 1,2M 3S,130.2,1965,Rock 1960s,Rock,1960s,POWERTRK_025-17,POWERTRK_025,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_025/POWERTRK_025-17.html,Measured Time:
73,Eddie Cochran,Summertime Blues,1M 59S,157.2,1970,Rock 1970s,Rock,1970s,ESSENTLS_001-22,ESSENTLS_001,https://cs.uwaterloo.ca/~dtompkin/music/track/ESSENTLS_001/ESSENTLS_001-22.html,"I'm gonna raise a fuss I'm gonna raise a holler About workin' all summer Just-a trying to earn a dollar Every time I call my baby Try to get a date My boss says ""No dice, son You gotta work late"" Sometimes I wonder What I'm-a gonna do But there ain't no cure For the summertime blues Well my mama and papa told me ""Son, you gotta make some money If you wanna use the car To go ridin' next Sunday"" Well, I didn't go to work Told the boss I was sick ""You can't use the car 'Cuz you didn't work a lick"" Sometimes I wonder what I'm-a gonna do But there ain't no cure For the summertime blues I'm gonna take two weeks Gonna have a fine vacation I'm gonna take my problem To the United Nations Well, I called my congressman And he said, quote: ""I'd like to help you, son But you're too young to vote"" Sometimes I wonder what I'm-a gonna do But there ain't no cure For the summertime blues"
74,Stevie Wonder,Superstition,4M 25S,101.3,1972,Disco,Disco,NA,POWERTRK_017-13,POWERTRK_017,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_017/POWERTRK_017-13.html,"Very superstitious, writing's on the wall Very superstitious, ladders bout' to fall Thirteen month old baby, broke the lookin' glass Seven years of bad luck, the good things in your past When you believe in things that you don't understand Then you suffer Superstition ain't the way Hay, hay, hay,ohhhh Very superstitious, wash your face and hands Rid me of the problem, do all that you can Keep me in a daydream, keep me goin' strong You don't wanna save me, sad is my song When you believe in things that you don't understand Then you suffer Superstition ain't the way, yeh, yeh ahhhhhhhhhhhhhhhhh go Very superstitious, nothin' more to say Very superstitious, the devil's on his way Thirteen month old baby, broke the lookin' glass Seven years of bad luck, good things in your past When you believe in things that you don't understand Then you suffer Superstition ain't the way, no, no, no"
75,Led Zeppelin,Whole Lotta Love,5M 33S,92.1,1969,Rock 1960s,Rock,1960s,POWERTRK_065-17,POWERTRK_065,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_065/POWERTRK_065-17.html,"You need coolin', baby, I'm not foolin' I'm gonna send ya back to schoolin' Way down inside, a-honey, you need it I'm gonna give you my love I'm gonna give you my love, oh Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love You've been learnin' And baby, I been learnin' All them good times Baby, baby, I've been a yearnin'-ah A-way, way down inside A-honey, you need-a I'm gonna give you my love, ah I'm gonna give you my love, ah Oh, whole lotta love Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love I don't want more Ooh, just a little bit Ah, ah, ah, ah Ah, hah, hah Ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah ah, ah, ah,ah, ah, ah, ah, ah, ah, ah, ah, ah, ah No, no, no, no, ah Love,low-ow-ow-ow-ove Dah! You've been coolin' And baby, I've been droolin' All the good times, baby, I've been misusin' A-way, way down inside I'm gonna give ya my love I'm gonna give ya every inch of my love (Ah) I'm gonna give you my love Yes, alright, let's go Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love (Way down inside) Way down inside (Way down inside, woman, you) woman (woman, you) you need it (need) Love My, my, my, my My, my, my, my, oh Shake for me, girl I wanna be your backdoor man Hey, oh, hey, oh Hey, oh, oooh Oh, oh, oh, oh Hoo-ma, ma, hey Keep a-coolin', baby A-keep a-coolin', baby A-keep a-coolin', baby Ah, keep a-coolin', baby, ah, ahhh-hahhh, oo-ohh"
76,The Beatles,Strawberry Fields Forever,4M 8S,99.2,1969,Rock 1960s,Rock,1960s,BEATLES__BLA-01,BEATLES__BLA,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__BLA/BEATLES__BLA-01.html,"Let me take you down 'Cos I'm going to Strawberry Fields Nothing is real, and nothing to get hung about Strawberry Fields forever Living is easy with eyes closed Misunderstanding all you see It's getting hard to be someone, but it all works out It doesn't matter much to me Let me take you down 'Cos I'm going to Strawberry Fields Nothing is real, and nothing to get hung about Strawberry Fields forever No-one, I think, is in my tree I mean, it must be high or low That is, you can't, you know, tune in, but it's all right That is, I think it's not too bad Let me take you down 'Cos I'm going to Strawberry Fields Nothing is real, and nothing to get hung about Strawberry Fields forever Always, no, sometimes think it's me But you know I know when it's a dream I think, er, no, I mean, er, yes, but it's all wrong That is, I think I disagree Let me take you down 'Cos I'm going to Strawberry Fields Nothing is real, and nothing to get hung about Strawberry Fields forever Strawberry Fields forever Strawberry Fields forever Spoken: Cranberry sauce Cranberry sauce"
77,Elvis Presley,Mystery Train,2M 27S,121,2000,TBD,TBD,NA,DTRANDOM_004-15,DTRANDOM_004,https://cs.uwaterloo.ca/~dtompkin/music/track/DTRANDOM_004/DTRANDOM_004-15.html,"Train I ride, sixteen coaches long Train I ride, sixteen coaches long Well, that long black train got my baby and gone Train train, comin' 'round, 'round the bend Train train, comin' 'round the bend Well, it took my baby, but it never will again (no, not again) Train train, comin' down, down the line Train train, comin' down the line Well, it's bringin' my baby, 'cause she's mine all, all mine (She's mine, all, all mine) Train train, comin' 'round, 'round the bend ('round, 'round the bend) Train train, comin' 'round the bend ('round the bend) Well, it took my baby, but it never will again (no, never will again)"
78,James Brown,I Got You,2M 46S,147.5,1965,Rock 1960s,Rock,1960s,POWERTRK_037-14,POWERTRK_037,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_037/POWERTRK_037-14.html,"Whoa! I feel good I knew that I would, now I feel good I knew that I would, now So good, so good, I got you Whoa! I feel nice Like sugar and spice I feel nice Like sugar and spice So nice, so nice, I got you When I hold you in my arms I know that I can't do no wrong And when I hold you in my arms My love won't do you no harm And I feel nice Like sugar and spice I feel nice Like sugar and spice So nice, so nice, I got you When I hold you in my arms I know that I can't do no wrong And when I hold you in my arms My love can't do me no harm And I feel nice Like sugar and spice I feel nice Like sugar and spice So nice, so nice, I got you Whoa! I feel good I knew that I would, now I feel good I knew that I would So good, so good, I got you So good, so good, I got you So good, so good, I got you Hey!"
