number,artist,title,bigram
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no when
2,The Rolling Stones,Satisfaction,when i'm
2,The Rolling Stones,Satisfaction,i'm drivin
2,The Rolling Stones,Satisfaction,drivin in
2,The Rolling Stones,Satisfaction,in my
2,The Rolling Stones,Satisfaction,my car
2,The Rolling Stones,Satisfaction,car and
2,The Rolling Stones,Satisfaction,and a
2,The Rolling Stones,Satisfaction,a man
2,The Rolling Stones,Satisfaction,man comes
2,The Rolling Stones,Satisfaction,comes on
2,The Rolling Stones,Satisfaction,on the
2,The Rolling Stones,Satisfaction,the radio
2,The Rolling Stones,Satisfaction,radio he's
2,The Rolling Stones,Satisfaction,he's tellin
2,The Rolling Stones,Satisfaction,tellin me
2,The Rolling Stones,Satisfaction,me more
2,The Rolling Stones,Satisfaction,more and
2,The Rolling Stones,Satisfaction,and more
2,The Rolling Stones,Satisfaction,more about
2,The Rolling Stones,Satisfaction,about some
2,The Rolling Stones,Satisfaction,some useless
2,The Rolling Stones,Satisfaction,useless information
2,The Rolling Stones,Satisfaction,information supposed
2,The Rolling Stones,Satisfaction,supposed to
2,The Rolling Stones,Satisfaction,to fire
2,The Rolling Stones,Satisfaction,fire my
2,The Rolling Stones,Satisfaction,my imagination
2,The Rolling Stones,Satisfaction,imagination i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no oh
2,The Rolling Stones,Satisfaction,oh no
2,The Rolling Stones,Satisfaction,no no
2,The Rolling Stones,Satisfaction,no no
2,The Rolling Stones,Satisfaction,no hey
2,The Rolling Stones,Satisfaction,hey hey
2,The Rolling Stones,Satisfaction,hey hey
2,The Rolling Stones,Satisfaction,hey that's
2,The Rolling Stones,Satisfaction,that's what
2,The Rolling Stones,Satisfaction,what i
2,The Rolling Stones,Satisfaction,i say
2,The Rolling Stones,Satisfaction,say i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no satisfaction
2,The Rolling Stones,Satisfaction,satisfaction i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no satisfaction
2,The Rolling Stones,Satisfaction,satisfaction cause
2,The Rolling Stones,Satisfaction,cause i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try and
2,The Rolling Stones,Satisfaction,and i
2,The Rolling Stones,Satisfaction,i try
2,The Rolling Stones,Satisfaction,try i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no when
2,The Rolling Stones,Satisfaction,when i'm
2,The Rolling Stones,Satisfaction,i'm watchin
2,The Rolling Stones,Satisfaction,watchin my
2,The Rolling Stones,Satisfaction,my tv
2,The Rolling Stones,Satisfaction,tv and
2,The Rolling Stones,Satisfaction,and a
2,The Rolling Stones,Satisfaction,a man
2,The Rolling Stones,Satisfaction,man comes
2,The Rolling Stones,Satisfaction,comes on
2,The Rolling Stones,Satisfaction,on and
2,The Rolling Stones,Satisfaction,and tells
2,The Rolling Stones,Satisfaction,tells me
2,The Rolling Stones,Satisfaction,me how
2,The Rolling Stones,Satisfaction,how white
2,The Rolling Stones,Satisfaction,white my
2,The Rolling Stones,Satisfaction,my shirts
2,The Rolling Stones,Satisfaction,shirts can
2,The Rolling Stones,Satisfaction,can be
2,The Rolling Stones,Satisfaction,be well
2,The Rolling Stones,Satisfaction,well he
2,The Rolling Stones,Satisfaction,he can't
2,The Rolling Stones,Satisfaction,can't be
2,The Rolling Stones,Satisfaction,be a
2,The Rolling Stones,Satisfaction,a man
2,The Rolling Stones,Satisfaction,man cause
2,The Rolling Stones,Satisfaction,cause he
2,The Rolling Stones,Satisfaction,he doesn't
2,The Rolling Stones,Satisfaction,doesn't smoke
2,The Rolling Stones,Satisfaction,smoke the
2,The Rolling Stones,Satisfaction,the same
2,The Rolling Stones,Satisfaction,same cigarettes
2,The Rolling Stones,Satisfaction,cigarettes as
2,The Rolling Stones,Satisfaction,as me
2,The Rolling Stones,Satisfaction,me i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no oh
2,The Rolling Stones,Satisfaction,oh no
2,The Rolling Stones,Satisfaction,no no
2,The Rolling Stones,Satisfaction,no no
2,The Rolling Stones,Satisfaction,no hey
2,The Rolling Stones,Satisfaction,hey hey
2,The Rolling Stones,Satisfaction,hey hey
2,The Rolling Stones,Satisfaction,hey that's
2,The Rolling Stones,Satisfaction,that's what
2,The Rolling Stones,Satisfaction,what i
2,The Rolling Stones,Satisfaction,i say
2,The Rolling Stones,Satisfaction,say i
2,The Rolling Stones,Satisfaction,i can't
2,The Rolling Stones,Satisfaction,can't get
2,The Rolling Stones,Satisfaction,get no
2,The Rolling Stones,Satisfaction,no satisfaction
2,The Rolling Stones,Satisfaction,satisfaction i
