title,artist,year,genre,time_seconds,bpm,average_sentiment,genre_grouped
I Shot the Sheriff,Bob Marley & The Wailers,1975,Reggae,281,96.7,-1.03,Reggae
I Still Haven't Found What I'm Looking For,U2,1987,Rock 1980s,277,100.6,-0.25,Rock
I Walk the Line,Johnny Cash,1956,Country,161,106.4,0.44,Country
I Wanna Be Sedated,Ramones,1980,Rock 1980s,148,162.5,-1.33,Rock
I Wanna Be Your Dog,The Stooges,1969,TBD,190,120.9,0.5,TBD
I Want You Back,The Jackson 5,1969,Dance 1960s,180,98.1,0.94,Dance
I Want to Hold Your Hand,The Beatles,1966,Rock 1960s,146,131.1,1.14,Rock
I Want to Know What Love Is,Foreigner,1984,Slow,300,161.3,1.5,Slow
I Will Survive,Gloria Gaynor,1979,Disco,197,117.1,0.19,Disco
I'll Feel a Whole Lot Better,The Byrds,1965,TBD,153,134.4,2.2,TBD
I'll Take You There,The Staple Singers,1989,TBD,197,101.5,0.42,TBD
I'm Eighteen,Alice Cooper,1971,TBD,177,97.9,1.36,TBD
I'm So Lonesome I Could Cry,Hank Williams,1970,TBD,169,111.9,-1.43,TBD
I'm Waiting for the Man,The Velvet Underground,2005,TBD,280,125.4,0.78,TBD
I'm Your Hoochie Coochie Man,Muddy Waters,1960,TBD,172,108.9,0.56,TBD
I'm a Man,Bo Diddley,1957,TBD,182,102.4,1.29,TBD
I've Been Loving You Too Long (To Stop Now),Otis Redding,1965,TBD,193,117.4,1.06,TBD
I've Got a Woman,Ray Charles,1994,TBD,175,99.4,1.67,TBD
Imagine,John Lennon,1971,Slow,182,152.6,-0.58,Slow
In Bloom,Nirvana,2002,TBD,255,156.7,0.76,TBD
In Dreams,Roy Orbison,1963,Slow,168,107.9,0.94,Slow
In My Life,The Beatles,1966,Rock 1960s,147,103.7,1.42,Rock
In My Room,The Beach Boys,1963,TBD,135,103.7,-0.8,TBD
In the Midnight Hour,Wilson Pickett,1965,Dance 1960s,156,112,1.67,Dance
In the Still of the Night,The Five Satins,1956,Slow,182,105.4,2,Slow
Into the Mystic,Van Morrison,1970,Slow,207,85.2,0.45,Slow
Iron Man,Black Sabbath,1970,Rock 1970s,207,156.8,-0.79,Rock
It's Too Late,Carole King,1971,Slow,234,103.5,-0.97,Slow
It's Your Thing,The Isley Brothers,1984,TBD,167,92.7,1,TBD
