year,number,artist,title,time,bpm,genre,average_sentiment_yearly
1969,120,The Jackson 5,I Want You Back,3:00,98.1,Dance 1960s,0.9444444444444444
1969,135,The Beatles,While My Guitar Gently Weeps,4:46,115.7,Rock 1960s,1.2
1969,145,Sly & The Family Stone,Everyday People,2:19,114.5,Dance 1960s,0.5555555555555556
1969,170,Joni Mitchell,Both Sides Now,5:46,111.3,TBD,0.9411764705882353
1969,20,The Beatles,Let It Be,3:52,137.4,Rock 1960s,0.4
1969,202,The Beatles,Come Together,4:18,82.8,Rock 1960s,0.631578947368421
1969,240,Dusty Springfield,Son of a Preacher Man,2:27,90.9,Rock 1960s,1.105263157894737
1969,245,The Band,The Night They Drove Old Dixie Down,3:32,125.6,TBD,0.9166666666666666
1969,247,Sly & The Family Stone,Hot Fun in the Summertime,2:35,144.8,Dance 1960s,2.4210526315789473
1969,250,Black Sabbath,Paranoid,2:45,82.1,Rock 1960s,0.9375
1969,26,The Beatles,A Day in the Life,5:06,130.3,Rock 1960s,1
1969,38,The Rolling Stones,Gimme Shelter,4:32,118.9,TBD,-0.5384615384615384
1969,75,Led Zeppelin,Whole Lotta Love,5:33,92.1,Rock 1960s,2.310344827586207
1969,76,The Beatles,Strawberry Fields Forever,4:08,99.2,Rock 1960s,-0.6363636363636364
1969,8,The Beatles,Hey Jude,7:08,146.9,Rock 1960s,0.7241379310344828
1969,91,Elvis Presley,Suspicious Minds,3:20,114.8,Rock 1960s,0.027777777777777776
1969,99,Creedence Clearwater Revival,Fortunate Son,2:20,132.7,Rock 1970s,-0.06896551724137931
1970,111,Hank Williams,I'm So Lonesome I Could Cry,2:49,111.9,TBD,-1.4285714285714286
1970,136,Elton John,Your Song,4:00,117.9,Slow,1.75
1970,188,Creedence Clearwater Revival,Who'll Stop the Rain,2:26,123.8,Slow,0.5
1970,226,Van Morrison,Moondance,4:32,131.6,Rock 1970s,1.6923076923076923
1970,227,James Taylor,Fire And Rain,3:22,151.7,Slow,-0.5833333333333334
1970,47,Simon & Garfunkel,Bridge Over Troubled Water,4:51,87.2,Slow,0
1970,73,Eddie Cochran,Summertime Blues,1:59,157.2,Rock 1970s,-0.1
1971,130,Rod Stewart,Maggie May,4:58,128.8,Rock 1970s,-0.3684210526315789
1971,133,The Who,Won't Get Fooled Again,3:38,134.9,Rock 1970s,0.6111111111111112
1971,138,Sly & The Family Stone,Family Affair,3:02,108.6,Slow,0.3333333333333333
1971,3,John Lennon,Imagine,3:02,152.6,Slow,-0.5789473684210527
1971,31,Led Zeppelin,Stairway to Heaven,7:59,99.7,Slow,0.7692307692307693
1971,4,Marvin Gaye,What's Going On,3:47,101.5,Dance 1970s,-0.4
1971,60,Al Green,Let's Stay Together,3:17,102.2,Slow,0.7222222222222222
1972,127,David Bowie,Changes,3:34,114.0,Rock 1970s,-0.25
1972,168,The Temptations,Papa Was a Rollin' Stone,6:54,121.2,Rock 1970s,-1.4705882352941178
1972,205,Bill Withers,Lean on Me,3:45,150.6,Slow,0.09090909090909091
1972,27,Derek & The Dominos,Layla,7:04,115.2,Rock 1970s,0
1972,74,Stevie Wonder,Superstition,4:25,101.3,Disco,-0.2777777777777778
1972,98,Al Green,Love And Happiness,5:07,98.9,TBD,2.0714285714285716
1973,104,Stevie Wonder,Living for the City,7:25,99.1,Rock 1980s,0.391304347826087
1973,148,Janis Joplin,Me And Bobby McGee,4:34,93.3,Rock 1970s,1.7272727272727273
1973,167,Marvin Gaye,Let's Get It On,3:59,83.5,Dance 1970s,0.8648648648648649
1973,190,Bob Dylan,Knockin' on Heaven's Door,2:30,139.3,Slow,-1
1973,221,Lou Reed,Walk on the Wild Side,4:12,106.1,Rock 1970s,-1.75
1974,117,Al Green,Take Me to the River,3:45,118.0,TBD,1.368421052631579
1974,217,Dolly Parton,Jolene,2:41,110.0,TBD,1.3333333333333333
1974,242,Elton John,Rocket Man,4:42,137.0,Rock 1970s,-1.3181818181818181
1974,37,Bob Marley & The Wailers,No Woman No Cry,7:07,157.7,Reggae,-0.7209302325581395
1975,191,Lynyrd Skynyrd,Free Bird,9:01,149.0,Slow,0.6428571428571429
1975,21,Bruce Springsteen,Born to Run,4:30,146.3,Rock 1970s,0.25806451612903225
1975,86,Bruce Springsteen,Thunder Road,4:51,144.0,TBD,0.14285714285714285
1976,163,Queen,Bohemian Rhapsody,5:53,108.0,Slow,-0.5897435897435898
1976,172,Aerosmith,Dream On,4:25,154.8,Slow,1.3214285714285714
1976,92,Ramones,Blitzkrieg Bop,2:12,88.4,Rock 1970s,-0.6
1977,119,Fleetwood Mac,Go Your Own Way,3:39,135.6,Rock 1970s,-1.4285714285714286
1977,147,Iggy Pop,Lust for Life,5:13,102.0,Rock 2000s,1
1977,171,ABBA,Dancing Queen,3:52,100.4,Disco,1.375
1977,173,Sex Pistols,God Save the Queen,3:18,148.5,Rock 1970s,0.14583333333333334
1977,189,Bee Gees,Stayin' Alive,4:43,103.6,Disco,1.2142857142857142
1977,49,The Eagles,Hotel California,6:29,147.9,Slow,1
1977,53,Sex Pistols,Anarchy in the U.K.,3:32,134.3,Rock 1970s,-0.8
