number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
241,Sly & The Family Stone,Stand,3M 8S,108.3,2002,TBD,DTRANDOM_009-05,DTRANDOM_009,300s,2000s
242,Elton John,Rocket Man,4M 42S,137,1974,Rock 1970s,ELTONJON_GH1-06,ELTONJON_GH1,300s,1970s
243,The B-52's,Love Shack,5M 22S,133.6,1989,Rock 1980s,POWERTRK_041-07,POWERTRK_041,300s,1980s
244,The Spencer Davis Group,Gimme Some Lovin',2M 53S,147.5,1967,Rock 1960s,POWERTRK_008-06,POWERTRK_008,300s,1960s
245,The Band,The Night They Drove Old Dixie Down,3M 32S,125.6,1969,TBD,DTRANDOM_002-13,DTRANDOM_002,300s,1960s
246,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,2M 57S,95.4,1967,Rock 1960s,POWERTRK_130-06,POWERTRK_130,300s,1960s
247,Sly & The Family Stone,Hot Fun in the Summertime,2M 35S,144.8,1969,Dance 1960s,POWERTRK_126-06,POWERTRK_126,300s,1960s
248,Sugarhill Gang,Rapper's Delight,6M 32S,111.8,1980,Dance 1980s,POWERTRK_003-11,POWERTRK_003,300s,1980s
249,Aretha Franklin,Chain of Fools,2M 43S,117,1968,Dance 1960s,POWERTRK_165-02,POWERTRK_165,300s,1960s
250,Black Sabbath,Paranoid,2M 45S,82.1,1969,Rock 1960s,POWERTRK_160-15,POWERTRK_160,300s,1960s
251,Bobby Darin,Mack the Knife,3M 4S,84.7,1959,Easy,POWERTRK_007-04,POWERTRK_007,300s,1950s
252,Clyde McPhatter & The Drifters,Money Honey,2M 59S,123.2,1990,Easy,SHAMLAMA_001-01,SHAMLAMA_001,300s,1990s
253,Mott the Hoople,All the Young Dudes,3M 32S,154.8,1972,Rock 1970s,POWERTRK_104-02,POWERTRK_104,300s,1970s
254,AC/DC,Highway to Hell,3M 29S,116,1979,Rock 1970s,POWERTRK_033-04,POWERTRK_033,300s,1970s
255,Blondie,Heart of Glass,4M 34S,114.5,1979,Dance 1970s,POWERTRK_048-02,POWERTRK_048,300s,1970s
256,Radiohead,Paranoid Android,6M 23S,163.6,1997,Rock 1990s,BIGSHINY_002-15,BIGSHINY_002,300s,1990s
257,The Troggs,Wild Thing,2M 35S,102.1,1966,Rock 1960s,POWERTRK_020-12,POWERTRK_020,300s,1960s
258,The Who,I Can See for Miles,4M 21S,132.7,1967,Rock 1960s,POWERTRK_146-04,POWERTRK_146,300s,1960s
259,Jeff Buckley,Hallelujah,6M 53S,93.1,1994,TBD,DTRANDOM_001-05,DTRANDOM_001,300s,1990s
260,The Dells,Oh What a Nite,2M 54S,111.3,1988,TBD,DTRANDOM_006-19,DTRANDOM_006,300s,1980s
261,Stevie Wonder,Higher Ground,3M 11S,125.3,1973,Rock 1980s,STVWONDR_GH1-10,STVWONDR_GH1,300s,1970s
262,Smokey Robinson and The Miracles,Ooo Baby Baby,2M 48S,111.2,1965,TBD,DTRANDOM_009-01,DTRANDOM_009,300s,1960s
263,The Crystals,He's a Rebel,2M 24S,115.9,1962,Dance 1960s,POWERTRK_144-03,POWERTRK_144,300s,1960s
264,Randy Newman,Sail Away,2M 50S,89.2,1972,TBD,DTRANDOM_005-12,DTRANDOM_005,300s,1970s
265,Archie Bell & The Drells,Tighten Up,3M 14S,124.5,1991,TBD,DTRANDOM_008-11,DTRANDOM_008,300s,1990s
266,The Ronettes,Walking in the Rain,3M 16S,108,1964,TBD,DTRANDOM_004-03,DTRANDOM_004,300s,1960s
267,New York Dolls,Personality Crisis,3M 43S,155.6,1973,TBD,DTRANDOM_004-01,DTRANDOM_004,300s,1970s
268,U2,Sunday Bloody Sunday [Live],5M 17S,109.4,1983,Rock 1980s,POWERTRK_051-07,POWERTRK_051,300s,1980s
269,The Modern Lovers,Roadrunner,4M 6S,152.1,1976,TBD,DTRANDOM_006-05,DTRANDOM_006,300s,1970s
270,George Jones,He Stopped Loving Her Today,3M 16S,112.3,2005,Country,HOTSTUFF_030-14,HOTSTUFF_030,300s,2000s
271,The Beach Boys,Sloop John B,2M 54S,124.9,1966,Slow,POWERTRK_135-07,POWERTRK_135,300s,1960s
272,Chuck Berry,Sweet Little Sixteen,3M 0S,88.6,1958,Rock 1950s,POWERTRK_091-14,POWERTRK_091,300s,1950s
273,The Beatles,Something,3M 2S,132.4,1969,Rock 1960s,BEATLES__BLB-10,BEATLES__BLB,300s,1960s
274,Jefferson Airplane,Somebody to Love,2M 55S,131.2,1967,Rock 1960s,POWERTRK_092-02,POWERTRK_092,300s,1960s
275,Bruce Springsteen,Born in the U.S.A.,4M 37S,123.6,1984,Rock 1980s,POWERTRK_063-17,POWERTRK_063,300s,1980s
276,The Staple Singers,I'll Take You There,3M 17S,101.5,1989,TBD,DTRANDOM_004-07,DTRANDOM_004,300s,1980s
277,David Bowie,Ziggy Stardust,3M 13S,160.7,1972,Rock 1970s,POWERTRK_098-06,POWERTRK_098,300s,1970s
278,The Cure,Pictures of You,4M 46S,86.3,1989,Rock 1990s,BIGSHN90_02B-17,BIGSHN90_02B,300s,1980s
279,The Dixie Cups,Chapel of Love,2M 45S,125.7,1964,Rock 1960s,POWERTRK_034-11,POWERTRK_034,300s,1960s
280,Bill Withers,Ain't No Sunshine,2M 3S,159.5,2002,TBD,DTRANDOM_006-09,DTRANDOM_006,300s,2000s
281,Stevie Wonder,You Are the Sunshine of My Life,2M 51S,134,1973,Slow,POWERTRK_052-11,POWERTRK_052,300s,1970s
282,Joni Mitchell,Help Me,3M 24S,163.4,1974,TBD,DTRANDOM_001-02,DTRANDOM_001,300s,1970s
283,Blondie,Call Me,3M 32S,142,1980,Dance 1980s,POWERTRK_052-12,POWERTRK_052,300s,1980s
284,Elvis Costello,"(What's So Funny 'Bout) Peace, Love & Understanding",3M 32S,141.8,1999,TBD,DTRANDOM_009-03,DTRANDOM_009,300s,1990s
285,Howlin' Wolf,Smokestack Lightnin,3M 8S,145.2,2003,TBD,DTRANDOM_002-04,DTRANDOM_002,300s,2000s
286,Pavement,Summer Babe [Winter Version],3M 16S,98.4,1992,TBD,DTRANDOM_001-17,DTRANDOM_001,300s,1990s
287,Run-DMC,Walk This Way,5M 11S,105.6,1986,R&B 1980s,POWERTRK_009-04,POWERTRK_009,300s,1980s
288,Barrett Strong,Money (That's What I Want),2M 27S,141.1,1978,Rock 1970s,ANMHOUSE_ST1-09,ANMHOUSE_ST1,300s,1970s
289,The Beatles,Can't Buy Me Love,2M 13S,85.3,1966,Rock 1960s,BEATLES__RDA-07,BEATLES__RDA,300s,1960s
290,Eminem,Stan,5M 31S,160,2005,TBD,HOTSTUFF_017-11,HOTSTUFF_017,300s,2000s
291,The Zombies,She's Not There,2M 25S,131.4,1964,TBD,DTRANDOM_003-03,DTRANDOM_003,300s,1960s
292,The Clash,Train in Vain,3M 10S,122.9,1980,Rock 1980s,POWERTRK_010-15,POWERTRK_010,300s,1980s
293,Al Green,Tired of Being Alone,2M 52S,98.3,1971,TBD,DTRANDOM_008-22,DTRANDOM_008,300s,1970s
