number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
409,Cream,Crossroads,4M 13S,131.6,1994,Rock 1980s,ERICCLAP_GH1-05,ERICCLAP_GH1,500s,1990s
410,Pixies,Monkey Gone to Heaven,2M 55S,116.5,1989,TBD,DTRANDOM_004-04,DTRANDOM_004,500s,1980s
411,Donna Summer,I Feel Love,5M 52S,126.7,1977,Disco,POWERTRK_041-14,POWERTRK_041,500s,1970s
412,Bobbie Gentry,Ode to Billie Joe,4M 13S,120.1,1967,Country,CNTRYTRK_001-02,CNTRYTRK_001,500s,1960s
413,Little Richard,The Girl Can't Help It,2M 33S,86.1,1956,TBD,DTRANDOM_001-09,DTRANDOM_001,500s,1950s
414,The Coasters,Young Blood,2M 25S,109.2,1957,TBD,DTRANDOM_007-09,DTRANDOM_007,500s,1950s
415,Four Tops,I Can't Help Myself,2M 44S,128,1965,Rock 1960s,POWERTRK_017-04,POWERTRK_017,500s,1960s
416,Don Henley,Boys of Summer,4M 46S,88.5,1984,Rock 1980s,POWERTRK_070-17,POWERTRK_070,500s,1980s
417,N.W.A.,Fuck Tha Police,5M 45S,98.6,1989,TBD,DTRANDOM_001-08,DTRANDOM_001,500s,1980s
418,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,7M 29S,143,1971,TBD,DTRANDOM_003-09,DTRANDOM_003,500s,1970s
419,Dr. Dre,Nuthin' but a 'G' Thang,4M 0S,94.7,1993,R&B 1990s,POWERTRK_113-02,POWERTRK_113,500s,1990s
420,The Isley Brothers,It's Your Thing,2M 47S,92.7,1984,TBD,DTRANDOM_007-18,DTRANDOM_007,500s,1980s
421,Billy Joel,Piano Man,5M 37S,103.2,1974,Slow,POWERTRK_073-05,POWERTRK_073,500s,1970s
422,The Kinks,Lola,4M 8S,149.4,1970,Rock 1970s,POWERTRK_091-11,POWERTRK_091,500s,1970s
423,Elvis Presley,Blue Suede Shoes,1M 59S,95.6,1956,Rock 1950s,POWERTRK_019-14,POWERTRK_019,500s,1950s
424,The Rolling Stones,Tumbling Dice,3M 39S,110.6,1972,TBD,HOTSTUFF_023-18,HOTSTUFF_023,500s,1970s
425,The Smiths,"William, It Was Really Nothing",2M 9S,131,1984,Rock 1970s,SMITHS___GH1-02,SMITHS___GH1,500s,1980s
426,Deep Purple,Smoke on the Water,5M 39S,114,1973,Rock 1970s,POWERTRK_040-13,POWERTRK_040,500s,1970s
427,U2,New Year's Day,5M 35S,133.2,1983,Rock 1980s,POWERTRK_001-03,POWERTRK_001,500s,1980s
428,Mitch Ryder & The Detroit Wheels,Devil With a Blue Dress on - Good Golly Miss Molly,3M 30S,159,1966,Rock 1960s,POWERTRK_055-02,POWERTRK_055,500s,1960s
429,Solomon Burke,Everybody Needs Somebody to Love,2M 44S,149.8,1964,TBD,DTRANDOM_008-03,DTRANDOM_008,500s,1960s
430,The Clash,(White Man) in Hammersmith Palais,4M 1S,102.8,1978,TBD,DTRANDOM_007-14,DTRANDOM_007,500s,1970s
431,Fats Domino,Ain't That a Shame,2M 26S,123.2,1955,Rock 1950s,POWERTRK_087-01,POWERTRK_087,500s,1950s
432,Gladys Knight and The Pips,Midnight Train to Georgia,4M 37S,90.8,1973,Dance 1970s,POWERTRK_165-03,POWERTRK_165,500s,1970s
433,Led Zeppelin,Ramble On,4M 29S,99.1,1969,Rock 1960s,POWERTRK_071-08,POWERTRK_071,500s,1960s
434,Wilson Pickett,Mustang Sally,3M 2S,110,1966,Rock 1960s,POWERTRK_161-18,POWERTRK_161,500s,1960s
435,The Rolling Stones,Beast of Burden,4M 27S,100.9,1978,TBD,HOTSTUFF_024-08,HOTSTUFF_024,500s,1970s
436,Love,Alone Again Or,3M 16S,114.1,1967,TBD,DTRANDOM_004-17,DTRANDOM_004,500s,1960s
437,Elvis Presley,Love Me Tender,2M 46S,108.3,1956,Slow,POWERTRK_013-02,POWERTRK_013,500s,1950s
438,The Stooges,I Wanna Be Your Dog,3M 10S,120.9,1969,TBD,DTRANDOM_005-07,DTRANDOM_005,500s,1960s
439,John Mellencamp,Pink Houses,4M 45S,115.5,1983,Rock 1980s,POWERTRK_162-09,POWERTRK_162,500s,1980s
440,Salt 'N' Pepa,Push It,4M 35S,128.1,1987,R&B 1980s,POWERTRK_051-11,POWERTRK_051,500s,1980s
441,The Dell-Vikings,Come Go With Me,2M 39S,125.2,1957,Rock 1950s,POWERTRK_009-15,POWERTRK_009,500s,1950s
442,Little Richard,Keep a Knockin',2M 22S,119.9,1958,TBD,DTRANDOM_008-18,DTRANDOM_008,500s,1950s
443,Bob Marley & The Wailers,I Shot the Sheriff,4M 41S,96.7,1975,Reggae,BOBMARLY_G1A-10,BOBMARLY_G1A,500s,1970s
444,Sonny & Cher,I Got U Babe,3M 9S,110.4,1965,Rock 1960s,POWERTRK_056-15,POWERTRK_056,500s,1960s
445,Nirvana,Come as You Are,3M 37S,120.9,1991,Rock 1990s,POWERTRK_106-05,POWERTRK_106,500s,1990s
446,Toots & The Maytals,Pressure Drop,3M 44S,147.6,1972,TBD,DTRANDOM_006-10,DTRANDOM_006,500s,1970s
447,The Shangri-Las,Leader of the Pack,2M 51S,119.1,1964,Rock 1960s,POWERTRK_111-17,POWERTRK_111,500s,1960s
448,The Velvet Underground,Heroin,7M 12S,131.8,2005,TBD,DTRANDOM_002-15,DTRANDOM_002,500s,2000s
449,The Beatles,Penny Lane,3M 1S,113.8,1969,Rock 1960s,BEATLES__BLA-02,BEATLES__BLA,500s,1960s
450,Glen Campbell,By the Time I Get to Phoenix,2M 46S,87.6,2001,TBD,DTRANDOM_002-19,DTRANDOM_002,500s,2000s
451,Chubby Checker,The Twist,2M 37S,155.5,1961,Rock 1960s,POWERTRK_038-07,POWERTRK_038,500s,1960s
452,Sam Cooke,Cupid,2M 31S,120.1,1960,TBD,DTRANDOM_004-08,DTRANDOM_004,500s,1960s
453,Guns N' Roses,Paradise City,6M 46S,101.2,1989,Rock 1980s,POWERTRK_003-09,POWERTRK_003,500s,1980s
454,George Harrison,My Sweet Lord,4M 38S,121.5,1970,Rock 1970s,POWERTRK_099-01,POWERTRK_099,500s,1970s
455,Nirvana,All Apologies,3M 46S,116.4,1993,Rock 1990s,POWERTRK_105-16,POWERTRK_105,500s,1990s
456,Lloyd Price,Stagger Lee,2M 21S,135.6,1959,Rock 1950s,POWERTRK_040-17,POWERTRK_040,500s,1950s
457,Ramones,Sheena Is a Punk Rocker,2M 48S,88.1,1977,TBD,DTRANDOM_001-15,DTRANDOM_001,500s,1970s
458,Sam & Dave,Soul Man,2M 37S,112.6,1967,Dance 1960s,POWERTRK_003-15,POWERTRK_003,500s,1960s
459,Muddy Waters,Rollin' Stone,3M 8S,84.8,1988,TBD,DTRANDOM_005-08,DTRANDOM_005,500s,1980s
460,The Chiffons,One Fine Day,2M 9S,89.4,1963,Easy,1FINEDAY_ST1-13,1FINEDAY_ST1,500s,1960s
461,Prince,Kiss,3M 47S,111.5,1986,Dance 1980s,POWERTRK_013-03,POWERTRK_013,500s,1980s
462,The Staple Singers,Respect Yourself,3M 34S,109.9,1990,TBD,DTRANDOM_001-07,DTRANDOM_001,500s,1990s
463,The Beatles,Rain,3M 2S,105.5,1988,TBD,DTRANDOM_003-01,DTRANDOM_003,500s,1980s
464,Four Tops,Standing in the Shadows of Love,2M 39S,114,1992,TBD,DTRANDOM_001-16,DTRANDOM_001,500s,1990s
465,Cheap Trick,Surrender,4M 12S,134.7,1978,Rock 1980s,CHPTRICK_GH1-09,CHPTRICK_GH1,500s,1970s
466,Del Shannon,Runaway,2M 18S,152.1,1961,Rock 1960s,POWERTRK_014-08,POWERTRK_014,500s,1960s
467,Guns N' Roses,Welcome to the Jungle,4M 32S,124,1988,Rock 1980s,POWERTRK_067-09,POWERTRK_067,500s,1980s
468,The Stooges,Search And Destroy,3M 29S,107.4,1973,TBD,DTRANDOM_007-07,DTRANDOM_007,500s,1970s
469,Carole King,It's Too Late,3M 54S,103.5,1971,Slow,POWERTRK_035-10,POWERTRK_035,500s,1970s
470,Joni Mitchell,Free Man in Paris,3M 3S,162.5,1974,TBD,DTRANDOM_006-11,DTRANDOM_006,500s,1970s
471,Willie Nelson,On the Road Again,2M 33S,110.5,1980,Country,POWERTRK_024-14,POWERTRK_024,500s,1980s
472,The Supremes,Where Did Our Love Go,2M 32S,135.8,1964,Dance 1960s,POWERTRK_025-06,POWERTRK_025,500s,1960s
473,Aretha Franklin,Do Right Woman - Do Right Man,3M 13S,131.4,2002,TBD,DTRANDOM_002-05,DTRANDOM_002,500s,2000s
474,Funkadelic,One Nation Under a Groove,7M 28S,122.4,1978,TBD,DTRANDOM_002-09,DTRANDOM_002,500s,1970s
475,Beastie Boys,Sabotage,2M 59S,84,1994,Rock 1990s,POWERTRK_050-09,POWERTRK_050,500s,1990s
476,Foreigner,I Want to Know What Love Is,5M 0S,161.3,1984,Slow,POWERTRK_028-10,POWERTRK_028,500s,1980s
477,Rick James,Super Freak,3M 25S,132.8,1981,Dance 1980s,POWERTRK_006-05,POWERTRK_006,500s,1980s
478,Jefferson Airplane,White Rabbit,2M 32S,105.5,1967,Rock 1960s,POWERTRK_034-12,POWERTRK_034,500s,1960s
479,LaBelle,Lady Marmalade,3M 16S,117.4,1975,Disco,POWERTRK_003-01,POWERTRK_003,500s,1970s
480,Van Morrison,Into the Mystic,3M 27S,85.2,1970,Slow,POWERTRK_130-10,POWERTRK_130,500s,1970s
481,David Bowie,Young Americans,5M 11S,85.1,1975,Rock 1970s,POWERTRK_037-09,POWERTRK_037,500s,1970s
482,Alice Cooper,I'm Eighteen,2M 57S,97.9,1971,TBD,DTRANDOM_001-01,DTRANDOM_001,500s,1970s
483,The Cure,Just Like Heaven,3M 31S,151.7,1987,Rock 1980s,POWERTRK_098-07,POWERTRK_098,500s,1980s
484,Joan Jett & The Blackhearts,I Love Rock 'N Roll,2M 55S,94.7,1982,Rock 1980s,POWERTRK_018-13,POWERTRK_018,500s,1980s
485,Paul Simon,Graceland,4M 51S,117.9,1986,TBD,DTRANDOM_007-04,DTRANDOM_007,500s,1980s
486,The Smiths,How Soon Is Now?,6M 46S,95.4,1984,Rock 1980s,POWERTRK_045-06,POWERTRK_045,500s,1980s
487,The Drifters,Under the Boardwalk,2M 40S,124.5,1964,Slow,POWERTRK_038-01,POWERTRK_038,500s,1960s
488,Fleetwood Mac,Rhiannon,4M 11S,129,1975,Rock 1980s,FLEETMAC_GH1-01,FLEETMAC_GH1,500s,1970s
489,Gloria Gaynor,I Will Survive,3M 17S,117.1,1979,Disco,POWERTRK_001-01,POWERTRK_001,500s,1970s
490,The Rolling Stones,Brown Sugar,3M 46S,128.3,1971,Rock 1970s,ESSENTLS_011-09,ESSENTLS_011,500s,1970s
491,Dusty Springfield,You Don't Have to Say You Love Me,2M 47S,111.9,1966,TBD,HOTSTUFF_014-02,HOTSTUFF_014,500s,1960s
492,Jackson Browne,Running on Empty,4M 47S,136.5,1996,Rock 1990s,POWERTRK_129-11,POWERTRK_129,500s,1990s
493,The Crystals,Then He Kissed Me,2M 28S,134.6,1963,Rock 1960s,POWERTRK_032-16,POWERTRK_032,500s,1960s
494,The Eagles,Desperado,3M 32S,121.9,1972,Slow,POWERTRK_007-06,POWERTRK_007,500s,1970s
495,Smokey Robinson and The Miracles,Shop Around,2M 44S,135.5,1983,Rock 1970s,MOTOWN___G1B-02,MOTOWN___G1B,500s,1980s
496,The Rolling Stones,Miss You,4M 48S,110.3,1978,TBD,HOTSTUFF_023-12,HOTSTUFF_023,500s,1970s
497,Weezer,Buddy Holly,2M 40S,121.2,1994,Rock 1990s,POWERTRK_062-14,POWERTRK_062,500s,1990s
498,Brook Benton,Rainy Night in Georgia,3M 59S,137.3,1970,Slow,POWERTRK_083-18,POWERTRK_083,500s,1970s
499,Thin Lizzy,The Boys Are Back in Town,4M 28S,120.6,1976,Rock 1970s,POWERTRK_057-09,POWERTRK_057,500s,1970s
500,Boston,More Than a Feeling,4M 45S,109,1976,Rock 1970s,POWERTRK_023-03,POWERTRK_023,500s,1970s
